text,intent
随便,vague
最近咽喉胸闷,complaint
孩子腹泻，三天了,complaint
您好医生，我口干三天了,complaint
好的,chitchat
啊,vague
最近四肢乏力,complaint
感觉胃部一直腹胀,complaint
哈哈,chitchat
哈哈,chitchat
老师好，最近全身呕吐,complaint
说不上来,vague
打扰了,chitchat
感觉腰部一直咳嗽,complaint
您好,chitchat
我口干今早开始,complaint
早上起来便秘，半个月,complaint
医保怎么报销,chitchat
早上起来腰酸，半个月,complaint
啊,vague
辛苦了,chitchat
好的,chitchat
早上起来呕吐，这两天,complaint
好的,chitchat
我想咨询一下挂号,chitchat
您好医生，我口干三天了,complaint
早上起来便秘，这两天,complaint
你好,chitchat
最近腰部头疼,complaint
好的,chitchat
啊,vague
说不上来,vague
说不清,vague
早上起来腹胀，最近,complaint
医院几点上班,chitchat
谢谢医生,chitchat
早上好,chitchat
最近全身头痛,complaint
医生您好，我恶心今早开始,complaint
最近全身胃痛,complaint
谢谢医生,chitchat
辛苦了,chitchat
再见,chitchat
不知道,vague
早上起来头疼，这两天,complaint
帮我看看,vague
有点问题,vague
早上起来胃痛，三天了,complaint
我胸闷半个月,complaint
孩子恶心，这两天,complaint
怎么办,vague
早上起来腰痛，今早开始,complaint
老师好，最近咽喉咳嗽,complaint
您好医生，我胃痛半个月,complaint
我想咨询一下挂号,chitchat
孩子胃痛，半个月,complaint
我头痛一周,complaint
感觉不太好,vague
说不上来,vague
孩子恶心，一周,complaint
您好医生，我腹痛一周,complaint
你好,chitchat
医生您好，我胸闷半个月,complaint
你好,chitchat
老师好，最近腹部腹胀,complaint
早上起来口干，最近,complaint
说不清,vague
说不上来,vague
您好医生，我发热最近,complaint
您好医生，我呕吐一周,complaint
感觉腹部一直便秘,complaint
再见,chitchat
难受,vague
随便,vague
医生您好，我心悸三天了,complaint
最近咽喉腰痛,complaint
我腰酸最近,complaint
您好医生，我腹泻最近,complaint
辛苦了,chitchat
最近头部发热,complaint
有点问题,vague
早上起来头疼，这两天,complaint
不知道,vague
您好医生，我发热今早开始,complaint
早上起来失眠，最近,complaint
帮我看看,vague
感觉腹部一直腰痛,complaint
您好医生，我头疼这两天,complaint
早上起来乏力，这两天,complaint
辛苦了,chitchat
还行,vague
早上起来头痛，今早开始,complaint
不舒服,vague
早上起来恶心，这两天,complaint
嗯嗯,chitchat
我失眠三天了,complaint
感觉胃部一直腹痛,complaint
医生您好，我呕吐今早开始,complaint
还行,vague
您好医生，我发热最近,complaint
嗯嗯,chitchat
最近腹部便秘,complaint
老师好，最近四肢失眠,complaint
有点问题,vague
难受,vague
好的,chitchat
有点问题,vague
医生您好，我腰酸三天了,complaint
说不上来,vague
辛苦了,chitchat
您好医生，我发热今早开始,complaint
在吗,chitchat
老师好，最近胸部乏力,complaint
好的,chitchat
打扰了,chitchat
还行,vague
打扰了,chitchat
不舒服,vague
嗯,vague
还行,vague
嗯,vague
有点问题,vague
在吗,chitchat
不知道,vague
还行,vague
医保怎么报销,chitchat
最近胃部头痛,complaint
再见,chitchat
再见,chitchat
哈哈,chitchat
孩子失眠，三天了,complaint
说不清,vague
最近咽喉口干,complaint
谢谢医生,chitchat
不舒服,vague
我头疼一周,complaint
感觉不太好,vague
您好,chitchat
我想咨询一下挂号,chitchat
医保怎么报销,chitchat
感觉不太好,vague
您好医生，我胸闷今早开始,complaint
再见,chitchat
老师好，最近四肢乏力,complaint
我想咨询一下挂号,chitchat
打扰了,chitchat
孩子腹痛，半个月,complaint
老师好，最近全身便秘,complaint
您好医生，我乏力最近,complaint
您好医生，我心悸今早开始,complaint
我胸闷最近,complaint
孩子头疼，这两天,complaint
随便,vague
随便,vague
早上起来腰痛，最近,complaint
孩子呕吐，一周,complaint
说不清,vague
早上起来腹胀，半个月,complaint
感觉不太好,vague
感觉头部一直恶心,complaint
不知道,vague
最近腰部咳嗽,complaint
有点问题,vague
孩子心悸，半个月,complaint
医院几点上班,chitchat
孩子恶心，最近,complaint
孩子咳嗽，最近,complaint
感觉腰部一直心悸,complaint
最近腰部腹胀,complaint
您好医生，我发热最近,complaint
说不上来,vague
感觉不太好,vague
您好医生，我口干三天了,complaint
您好医生，我胃痛这两天,complaint
感觉胃部一直腰酸,complaint
老师好，最近胃部腹泻,complaint
嗯嗯,chitchat
啊,vague
孩子恶心，三天了,complaint
我腹泻一周,complaint
老师好，最近咽喉胃痛,complaint
早上起来失眠，这两天,complaint
孩子咳嗽，一周,complaint
早上起来恶心，一周,complaint
孩子发热，一周,complaint
您好医生，我腹痛最近,complaint
最近头部腰酸,complaint
嗯嗯,chitchat
早上起来腹泻，最近,complaint
有点问题,vague
辛苦了,chitchat
医院几点上班,chitchat
老师好，最近咽喉乏力,complaint
好的,chitchat
早上起来恶心，三天了,complaint
早上起来乏力，今早开始,complaint
孩子腰酸，半个月,complaint
有点问题,vague
啊,vague
我失眠三天了,complaint
早上起来腰痛，一周,complaint
在吗,chitchat
孩子失眠，最近,complaint
您好医生，我便秘今早开始,complaint
最近头部便秘,complaint
医生您好，我口干最近,complaint
还行,vague
好的,chitchat
医保怎么报销,chitchat
您好医生，我胃痛一周,complaint
难受,vague
感觉咽喉一直便秘,complaint
还行,vague
最近胸部咳嗽,complaint
难受,vague
打扰了,chitchat
今天天气不错,chitchat
说不上来,vague
感觉胃部一直腰痛,complaint
您好医生，我口干最近,complaint
怎么办,vague
我便秘今早开始,complaint
最近头部胃痛,complaint
感觉全身一直腹泻,complaint
我想咨询一下挂号,chitchat
说不清,vague
老师好，最近全身恶心,complaint
老师好，最近腰部胃痛,complaint
我腹泻一周,complaint
我口干半个月,complaint
医生您好，我呕吐一周,complaint
感觉咽喉一直腹痛,complaint
有点问题,vague
帮我看看,vague
难受,vague
难受,vague
今天天气不错,chitchat
孩子腰酸，一周,complaint
孩子发热，最近,complaint
啊,vague
早上起来恶心，最近,complaint
老师好，最近四肢腹胀,complaint
最近胸部腹痛,complaint
我口干今早开始,complaint
医生您好，我腹胀这两天,complaint
你好,chitchat
感觉胃部一直胸闷,complaint
早上起来腰酸，最近,complaint
老师好，最近胸部乏力,complaint
嗯,vague
最近四肢腰酸,complaint
不知道,vague
我呕吐一周,complaint
有点问题,vague
医生您好，我腰酸三天了,complaint
孩子咳嗽，这两天,complaint
最近胃部心悸,complaint
感觉胸部一直心悸,complaint
最近腰部胃痛,complaint
我想咨询一下挂号,chitchat
老师好，最近头部胸闷,complaint
我腹胀最近,complaint
谢谢医生,chitchat
老师好，最近胸部心悸,complaint
难受,vague
我想咨询一下挂号,chitchat
您好医生，我呕吐最近,complaint
好的,chitchat
老师好，最近腰部头疼,complaint
啊,vague
医生您好，我恶心一周,complaint
还行,vague
您好,chitchat
您好医生，我乏力今早开始,complaint
今天天气不错,chitchat
早上起来口干，一周,complaint
您好医生，我发热一周,complaint
啊,vague
感觉四肢一直咳嗽,complaint
早上起来便秘，今早开始,complaint
说不清,vague
说不上来,vague
说不清,vague
在吗,chitchat
孩子头疼，三天了,complaint
辛苦了,chitchat
好的,chitchat
感觉胃部一直胃痛,complaint
有点问题,vague
医院几点上班,chitchat
孩子胸闷，半个月,complaint
您好,chitchat
随便,vague
老师好，最近腹部口干,complaint
最近腰部咳嗽,complaint
感觉咽喉一直乏力,complaint
再见,chitchat
有点问题,vague
我腹痛这两天,complaint
说不上来,vague
说不清,vague
医院几点上班,chitchat
嗯嗯,chitchat
好的,chitchat
最近腹部头痛,complaint
说不上来,vague
啊,vague
辛苦了,chitchat
啊,vague
早上好,chitchat
